docid,title,text,book,book_title,chapter_number,chapter_title
101,ANOTHER WAY ,"[the turnips are] boiled, served dressed with oil, to which, if desired, you may add vinegar .",III,THE GARDENER,XIII,"TURNIPS, NAVEWS."
102,RADISHES ,"pepper the radishes well; or, equally well: grate it with pepper and brine.",III,THE GARDENER,XIV,HORSERADISH AND RADISHES.
103,SOFT CABBAGE ,"the cabbage is cooked with pot herbs in soda water; press [the water out] chop it very fine: [now] crush pepper, lovage, dry satury with dry onions, add stock, oil and wine.",III,THE GARDENER,XV,SOFT CABBAGE.
104,ANOTHER MASHED GREEN VEGETABLE ,"cook celery in soda water, squeeze [water out] chop fine. in the mortar crush pepper, lovage, origany, onion [and mix with] wine and stock, adding some oil. cook this in the boiler  and mix the celery with this preparation.",III,THE GARDENER,XV,SOFT CABBAGE.
105,ANOTHER MASHED VEGETABLE ,"cook the lettuce leaves with onion in soda water, squeeze [the water out] chop very fine; in the mortar crush pepper, lovage, celery seed, dry mint, onion; add stock, oil and wine.",III,THE GARDENER,XV,SOFT CABBAGE.
106,TO PREVENT MASHED VEGETABLES FROM TURNING ,"it will be required above all to clean the vegetables well, to cut off all decayed parts and to cover [the cooked vegetables] with wormwood water.",III,THE GARDENER,XV,SOFT CABBAGE.
107,FIELD HERBS ,"field and forest  herbs are prepared  [either raw] with stock  oil and vinegar [as a salad, ] or as a cooked dish  by adding pepper, cumin and mastich berries.",III,THE GARDENER,XVI,FIELD HERBS.
108,NETTLES ,"the female nettles, when the sun is in the position of the aries, is supposed to render valuable services against ailments of various kinds .",III,THE GARDENER,XVII,NETTLES.
109,ENDIVES AND LETTUCE ,"endives [are dressed] with brine, a little oil and chopped onion, instead of the real lettuce  in winter time the endives are taken out of the pickle  [and are dressed] with honey or vinegar.",III,THE GARDENER,XVIII,ENDIVE AND LETTUCE.
110,"LETTUCE SALAD, FIELD SALAD ",[dress it] with vinegar dressing and a little brine stock; which helps digestion and is taken to counteract inflation .,III,THE GARDENER,XVIII,ENDIVE AND LETTUCE.
111,A HARMLESS SALAD ,"[and in order that the lettuce may not hurt you take (with it or after it) the following preparation]  2 ounces of ginger, 1 ounce of green rue, 1 ounce of meaty dates, 12 scruples of ground pepper, 1 ounce of good honey, and 8 ounces of either æthiopian or syrian cumin. make an infusion of this in vinegar, the cumin crushed, and strain. of this liquor use a small spoonful mix it with stock and a little vinegar: you may take a small spoonful after the meal .",III,THE GARDENER,XVIII,ENDIVE AND LETTUCE.
112,CARDOONS ,"cardoons [are eaten with a dressing of] briny broth, oil, and chopped [hard] eggs.",III,THE GARDENER,XIX,CARDOONS.
113,ANOTHER [Dressing for] CARDOONS ,"rue, mint, coriander, fennel--all green--finely crushed; add pepper, lovage, and  brine and oil .",III,THE GARDENER,XIX,CARDOONS.
114,BOILED CARDOONS ,"[are served with] pepper, cumin, broth and oil.",III,THE GARDENER,XIX,CARDOONS.
115,(COW-) PARSNIPS [?] ,cow-parsnips are fried [and eaten] with a simple wine sauce.,III,THE GARDENER,XX,COW-PARSNIPS.
116,ANOTHER WAY ,"boil the parsnips in salt water [and season them] with pure oil , chopped green coriander and whole pepper.",III,THE GARDENER,XX,COW-PARSNIPS.
117,ANOTHER WAY ,"prepare the boiled parsnips with the following sauce: celery seed, rue, honey, ground pepper, mixed with raisin wine, stock and a little oil; bind this with roux [bring to a boiling point, immerse parsnips] sprinkle with pepper and serve.",III,THE GARDENER,XX,COW-PARSNIPS.
118,ANOTHER WAY [Purée of Parsnips] ,"mash the parsnips, [add] cumin, rue, stock, a little condensed wine, oil, green coriander [and] leeks and serve; goes well with salt pork .",III,THE GARDENER,XX,COW-PARSNIPS.
119,ANOTHER WAY ,"boil the parsnips [sufficiently, if] hard  [then] put them in a sauce pan and stew with oil, stock, pepper, raisin wine, strain  and bind with roux.",III,THE GARDENER,XX,COW-PARSNIPS.
120,ANOTHER WAY ,"finish [marinate] the parsnips in oil and broth, or fry them in oil, sprinkle with salt and pepper, and serve.",III,THE GARDENER,XX,COW-PARSNIPS.
121,ANOTHER WAY ,"bruise the boiled parsnips [scallops, muscular part of shellfish] eliminate the hard strings; add boiled spelt and chopped hard eggs, stock and pepper. make croquettes or sausage from this, adding pignolia nut and pepper, wrap in caul [or fill in casings] fry and serve them as an entrée dish in a wine sauce.",III,THE GARDENER,XX,COW-PARSNIPS.
122,CARROTS AND PARSNIPS ,carrots or parsnips are fried [and served] with a wine sauce.,III,THE GARDENER,XXI,CARROTS AND PARSNIPS.
123,ANOTHER WAY ,the carrots [are cooked] salted [and served] with pure oil and vinegar.,III,THE GARDENER,XXI,CARROTS AND PARSNIPS.
124,ANOTHER WAY ,"the carrots [are] boiled [and] sliced, stewed with cumin and a little oil and are served. at the same time  [here is your opportunity] make a cumin sauce [from the carrot juice] for those who have the colic .",III,THE GARDENER,XXI,CARROTS AND PARSNIPS.
125,BOILED DINNER ,"pepper, fresh mint, celery, dry pennyroyal, cheese , pignolia nuts, honey, vinegar, broth, yolks of egg, fresh water, soaked bread and the liquid pressed out, cow's cheese and cucumbers are arranged in a dish, alternately, with the nuts; [also add] finely chopped capers , chicken livers ; cover completely with [a lukewarm, congealing] broth, place on ice [and when congealed unmould and] serve up .",IV,MISCELLANEA,I,BOILED DINNERS.
126,APICIAN JELLY ,"put in the mortar celery seed, dry pennyroyal, dry mint, ginger, fresh coriander, seedless raisins, honey, vinegar, oil and wine; crush it together [in order to make a dressing of it]. [now] place 3 pieces of picentian bread in a mould, interlined with pieces of [cooked] chicken, [cooked] sweetbreads of calf or lamb, cheese , pignolia nuts, cucumbers [pickles] finely chopped dry onions [shallots] covering the whole with [jellified] broth. bury the mould in snow up to the rim; [unmould] sprinkle [with the above dressing] and serve .",IV,MISCELLANEA,I,BOILED DINNERS.
127,OTHER SALACACCABIA ,"hollow out an alexandrine loaf of bread, soak the crumbs with posca [a mixture of water, wine, vinegar or lemon juice] and make a paste of it. put in the mortar pepper, honey  mint, garlic, fresh coriander, salted cow's cheese, water and oil. wine  poured over before serving .",IV,MISCELLANEA,I,BOILED DINNERS.
128,EVERYDAY DISH ,"make a paste of stewed brains [calf's, pig's, etc.] season with pepper, cumin, laser, broth, thickened wine, milk and eggs  poach it over a weak fire or in a hot water [bath].",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
129,"ANOTHER DISH, WHICH CAN BE TURNED OVER [A Nut Custard] ","the dish, called turn-over, is thus made  crush very fine walnuts and hazelnuts  toast them and crush with honey, mix in pepper, broth, milk and eggs and a little oil .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
130,ANOTHER ,"another dish is made of the  strunks of lettuce crushed with pepper, broth, thickened wine, [add] water and oil, and cook this; bind with eggs, sprinkle with pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
131,VEGETABLE AND BRAIN PUDDING ,"take vegetables, clean and wash, shred  and cook them  cool them off and drain them. take 4 [calf's] brains, remove [the skin and] strings and cook them  in the mortar put 6 scruples of pepper, moisten with broth and crush fine; then add the brains, rub again and meanwhile add the vegetables, rubbing all the while, and make a fine paste of it. thereupon break and add 8 eggs. now add a glassful  of broth, a glassful of wine, a glassful of raisin wine, taste this preparation. oil the baking dish thoroughly [put the mixture in the dish] and place it in the hot plate, (that is above the hot ashes)  and when it is done [unmould it] sprinkle with pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
132,ANOTHER COLD ASPARAGUS [and Figpecker] DISH ,"cold asparagus pie is made in this manner  take well cleaned [cooked] asparagus, crush it in the mortar, dilute with water and presently strain it through the colander. now trim, prepare [i.e. cook or roast] figpeckers  [and hold them in readiness]. 3  scruples of pepper are crushed in the mortar, add broth, a glass of wine, put this in a saucepan with 3 ounces of oil, heat thoroughly. meanwhile oil your pie mould, and with 6 eggs, flavored with œnogarum, and the asparagus preparation as described above; thicken the mixture on the hot ashes. thereupon arrange the figpeckers in the mould, cover them with this purée, bake the dish. [when cold, unmould it] sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
133,ANOTHER ASPARAGUS CUSTARD ,"asparagus pie is made like this  put in the mortar asparagus tips  crush pepper, lovage, green coriander, savory and onions; crush, dilute with wine, broth and oil. put this in a well-greased pan, and, if you like, add while on the fire some beaten eggs to it to thicken it, cook [without boiling the eggs] and sprinkle with very fine pepper.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
134,A DISH OF FIELD VEGETABLES ,"by following the above instructions you may make  a pie of field vegetables, or of thyme  or of green peppers  or of cucumbers or of small tender sprouts  same as above, or, if you like, make one underlaid with boneless pieces of fish or of chicken [combined with any of the above vegetables] .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
135,ELDERBERRY CUSTARD OR PIE ,"a dish of elderberries, either hot or cold, is made in this manner  take elderberries  wash them; cook in water, skim and strain. prepare a dish in which to cook the custard  crush 6 scruples of pepper with a little broth; add this to the elderberry pulp with another glass of broth, a glass of wine, a glass of raisin wine and as much as 4 ounces of oil. put the dish in the hot bath and stir the contents. as soon as it is getting warm, quickly break 6 eggs and whipping them, incorporate them, in order to thicken the fluid. when thick enough sprinkle with pepper and serve up.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
136,"ROSE PIE, ROSE CUSTARD OR PUDDING ","take roses fresh from the flower bed, strip off the leaves, remove the white [from the petals and] put them in the mortar; pour over some broth [and] rub fine. add a glass of broth and strain the juice through the colander. [this done] take 4 [cooked calf's] brains, skin them and remove the nerves; crush 8 scruples of pepper moistened with the juice and rub [with the brains]; thereupon break 8 eggs, add 1  glass of wine, 1 glass of raisin wine and a little oil. meanwhile grease a pan, place it on the hot ashes [or in the hot bath] in which pour the above described material; when the mixture is cooked in the _bain maris_  sprinkle it with pulverized pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
137,PUMPKIN PIE ,and pumpkin pie is made thus  stewed and mashed pumpkin is placed in the pan [or pie dish] seasoned with a little cumin essence. add a little oil; heat [bake] and serve .,IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
138,SPRATS OR SMELTS AU VIN BLANC ,"clean the smelts [or other small fish, filets of sole, etc. of white meat] marinate [i.e. impregnate with] in oil, place in a shallow pan, add oil, broth  and wine. bunch  [fresh] rue and marjoram and cook with the fish. when done remove the herbs, season the fish with pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
139,"SMELT PIE, OR, SPRAT CUSTARD ","boneless pieces of anchovies or [other small] fish, either roast [fried] boiled, chop very fine. fill a casserole generously with the same [season with] crushed pepper and a little rue, add sufficient broth and some oil, and mix in, also add enough raw eggs so that the whole forms one solid mass. now carefully add some sea-nettles but take pain that they are not mixed with the eggs. now put the dish into the steam so that it may congeal [but avoid boiling] . when done sprinkle with ground pepper and carry into the dining room. nobody will be able to tell what he is enjoying .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
140,"A RICH ENTRÉE OF FISH, POULTRY AND SAUSAGE IN CREAM ","soak [pignolia] nuts, dry them, and also have fresh sea-urchins  ready. take a deep dish [casserole] in which arrange the following things [in layers]: medium-sized mallows and beets, mature leeks, celery, stewed tender green cabbage, and other boiled green vegetables , a disjointed  chicken stewed in its own gravy, cooked [calf's or pig's] brains, lucanian sausage, hard boiled eggs cut into halves, big tarentinian sausage  sliced and broiled in the ashes, chicken giblets or pieces of chicken meat. bits of fried fish, sea nettles, pieces of [stewed] oysters and fresh cheese are alternately put together; sprinkle in between the nuts and whole pepper, and the juice as is cooked from pepper, lovage, celery seed and silphium. this essence, when done, mix with milk to which raw eggs have been added [pour this over the pieces of food in the dish] so that the whole is thoroughly combined, stiffen it [in the hot water bath] and when done [garnish with] fresh mussels [sea-urchins, poached and chopped fine] sprinkle pepper over and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
141,APICIAN DISH ,"the apician dish is made thus: take small pieces of cooked sow's belly [with the paps on it] pieces of fish, pieces of chicken, the breasts of figpeckers or of thrushes [slightly] cooked, [and] whichever is best. mince all this very carefully, particularly the figpeckers [the meat of which is very tender]. dissolve in oil strictly fresh eggs; crush pepper and lovage, pour over some broth and raisin wine, put it in a saucepan to heat and bind with roux. after you have cut all in regular pieces, let it come to the boiling point. when done, retire [from the fire] with its juice of which you put some in another deep pan with whole pepper and pignolia nuts. spread [the ragout] out in single layers with thin pancakes in between; put in as many pancakes and layers of meat as is required to fill the dish; put a final cover of pancake on top and sprinkle with pepper after those eggs have been added [which serve] to tie the dish. now put this [mould or dish] in a boiler [steamer, hot water bath, allow to congeal] and dish it out [by unmoulding it]. an expensive silver platter would enhance the appearance of this dish materially.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
142,AN EVERY-DAY DISH ,"pieces of cooked sow's udder, pieces of cooked fish, chicken meat and similar bits, mince uniformly, season well and carefully . take a metal dish [for a mould]. break eggs [in another bowl] and beat them. in a mortar put pepper, lovage and origany , which crush; moisten [this] with broth, wine, raisin wine and a little oil; empty it into the bowl [with the beaten eggs, mix] and heat it [in the hot water bath]. thereupon when [this is] thickened mix it with the pieces of meat. now prepare [alternately] layers of stew and pancakes, interspersed with oil [in the metal mould reserved for this purpose] until full, cover with one real good pancake , cut into it a vent hole for chimney on the surface [bake in hot water bath and when done] turn out upside down into another dish. sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
143,NUT CUSTARD TURN-OVER ,"pignolia nuts, chopped or broken nuts [other varieties] are cleaned and roasted and crushed with honey. mix in [beat well] pepper, broth, milk, eggs, a little honey  and oil. [thicken slowly on fire without boiling, fill in moulds, taking care that the nuts do not sink to the bottom, bake in hot water bath, when cold unmould].",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
144,TYROTARICA ,"take any kind of salt fish  cook [fry or broil it] in oil, take the bones out, shred it [and add] pieces of cooked brains, pieces of [other, fresh (?)] fish, minced chicken livers  and [cover with] hot soft [i.e. liquefied] cheese. heat all this in a dish; [meanwhile] grind pepper, lovage, origany, seeds of rue with wine, honey wine and oil; cook all on a slow fire; bind [this sauce] with raw eggs; arrange [the fish, etc.]. properly [incorporate with the sauce] sprinkle with crushed cumin and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
145,SALT FISH BALLS IN WINE SAUCE ,"dry pieces of salt tursio  are boned, cleaned [soaked in water, cooked] shredded fine and seasoned with ground pepper, lovage, origany, parsley, coriander, cumin, rue seeds and dry mint. make fish balls out of this material and poach the same in wine, broth and oil; and when cooked, arrange them in a dish. then make a sauce [utilizing the broth, the _court bouillon_ in which the balls were cooked] season with pepper, lovage, satury, onions and wine and vinegar, also add broth and oil as needed, bind with roux  [pour over the balls] sprinkle with thyme and ground pepper .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
146,VEGETABLE DINNER ,"[any kind of vegetables or herbs] blanched off in water with [a little] soda; squeeze [out the water] arrange in a saucepan. grind pepper, lovage, coriander, satury, onion with wine, broth, vinegar and oil; add [this] to the vegetables, stew [all until nearly done] and tie with roux. sprinkle with thyme, finely ground pepper and serve. any kind of vegetable  may be prepared in the above manner, if you wish.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
147,A DISH OF SARDINES ,"sardine loaf (or omelette) is made in this manner  clean the sardines [of skin and bones]; break [and beat] eggs and mix with [half of the] fish ; add to this some stock, wine and oil, and finish [the composition] by heating it. when done to a point, add [the remaining part of the] sardines to it, let it stand a while [over a slow fire to congeal] carefully turn over [dish it up] mask with a warm  wine sauce, sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
148,FINE RAGOUT OF BRAINS AND BACON ,"the dish of bacon and brains is made in this manner  strain [or chop fine] hard boiled eggs  with parboiled brains [calf's or pig's] the skin and nerves of which have been removed; also cook chicken giblets, all in proportion to the fish  put this aforesaid mixture in a saucepan, place the cooked bacon in the center, grind pepper and lovage and to sweeten add a dash of mead, heat, when hot stir briskly with a rue whip and bind with roux.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
149,BROILED MULLET ,"a dish of mullet consists of  scaled salt mullet placed in a clean pan with enough oil  as is necessary for cooking; when done add [a dash of honey-] wine or raisin wine, sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
150,A DISH OF ANY KIND OF SALT FISH ,"another fish dish is thus made  fry any kind of cured  fish, carefully treated [soaked and cleaned] place in a pan, cover with sufficient oil, lay [strips of] cooked salt  [pork or bacon--_petits salés_] over the center, keep it hot, when real hot, add a dash of honey wine to the gravy and stir it up .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
151,"ANOTHER FISH DISH, WITH ONIONS ","another fish dish make as follows  clean any kind of fish and place it properly in a saucepan with shredded dry ascalonian onions [shallots] or with any other kind of onions, the fish on top. add stock and oil and cook. when done, put broiled bacon in the center, give it a dash of vinegar, sprinkle with [finely chopped] savory and garnish with [the] onions.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
152,A LUCRETIAN DISH ,"clean young onions, rejecting the green tops, and place  them in a saucepan with a little broth, some oil and water, and, to be cooked [with the onions] place salt pork  in the midst [of the scallions]. when nearly done, add a spoon of honey  a little vinegar and reduced must, taste it, if insipid add more brine [broth] if too salty, add more honey, and sprinkle with savory .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
153,STEWED LACERTUS FISH ,"clean and wash [soak] the fish  [cook and flake it] break and beat eggs, mix them with the fish, add broth, wine and oil. place this on the fire, when cooked [scrambled] add simple fish wine sauce  to it, sprinkle with pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
154,A FISH STEW ,"the zomore fish dish is made as follows  take raw ganonas  and other [fish] whichever you like, place them in a sauce pan, adding oil, broth, reduced wine, a bunch  of leeks and [green] coriander; while this cooks, crush pepper, lovage and a bunch of origany which crush by itself and dilute with the juice  of the fish. now dissolve [break and beat egg yolks for a _liaison_] prepare and taste the dish, binding [the sauce with the yolks] sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
155,SOLE IN WHITE WINE ,"a dish of sole is thus made  beat the sole  prepare  and place them in a [shallow] sauce pan, add oil, broth and wine, and poach them thus; now crush pepper, lovage, origany and add of the fish juice; then bind the sauce with raw eggs [yolks] to make a good creamy sauce of it; strain this over the sole, heat all on a slow fire [to fill it with live heat] sprinkle with pepper and serve .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
156,A DISH OF LITTLE FISH ,"take raisins, pepper, lovage, origany, onions, wine, broth and oil, place this in a pan; after this has cooked add to it the cooked small fish, bind with roux and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
157,"A DISH OF TOOTH FISH, DORY OR SEA MULLET AND OYSTERS ","take the fish, prepare [clean, trim, wash] and half broil or fry them; thereupon shred them [in good-sized] pieces: next prepare oysters; put in a mortar 6 scruples of pepper, moisten with broth and crush. add a small glass of broth, one of wine to it; put in a sauce pan 3 ounces of oil and the [shelled] oysters and let them poach with wine sauce. when they are done, oil a dish on which place the above mentioned fish pieces and stewed oysters, heat again, and when hot, break 40  eggs [whip them] and pour them over the oysters, so that they congeal. sprinkle with pepper and serve. .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
158,"SEA BASS, OR BARRACUDA ","grind pepper, cumin, parsley, rue, onions, honey, broth, raisin wine and drops of oil .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
159,"A DISH OF SORB-APPLE, HOT OR COLD ","take medlars, clean them; crush them in the mortar and strain through colander. 4 cooked [calf's or pork] brains, skinned and freed from stringy parts, put in the mortar with 8 scruples of pepper, dilute with stock and crush, adding the medlar pulp and combine all; now break 8 eggs and add a small glass of broth. oil a clean pan and place it in the hot bath or in the hot ashes; after you have filled it with the preparation, make sure that the pan gets enough heat from below; let it congeal, and when done sprinkle with a little fine pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
160,A DISH OF PEACHES ,"clean hard-skinned peaches and slice, stew them; arrange in a dish, sprinkle with a little oil and serve with cumin-flavored wine .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
161,A DISH OF PEARS ,"a dish of pears is made this way:  stew the pears, clean out the center [remove core and seeds] crush them with pepper, cumin, honey, raisin wine, broth and a little oil; mix with eggs, make a pie [custard] of this, sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
162,A DISH OF SEA-NETTLES ,"a dish of sea-nettles, either hot or cold, is made thus:  take sea-nettles, wash and drain them on the colander, dry on the table and chop fine. crush 10 scruples of pepper, moisten with broth, add 2 small glasses of broth and 6 ounces of oil. heat this in a sauce pan and when cooked take it out and allow to cool off. next oil a clean pan, break 8 eggs and beat them; combine these with the above preparations, place the pan on hot ashes to give it heat from below, when done [congealed] sprinkle with pepper and serve.",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
163,A DISH OF QUINCES ,"a dish of quinces is made as follows:  quinces are cooked with leeks, honey and broth, using hot oil, or they are stewed in honey .",IV,MISCELLANEA,II,"DISHES OF FISH, VEGETABLES, FRUITS, AND SO FORTH."
164,A MINCE OF SEA FOOD ,"place the fish in sauce pan, add broth oil and wine [and poach it]. also finely chop leek heads [the white part only of leeks] and [fresh] coriander. [when cool, mince the fish fine] form it into small cakes  adding capers  and sea-nettles well cleaned. these fish cakes cook in a liquor of pepper, lovage and origany, crushed, diluted with broth and the above fish liquor which skim well, bind [with roux or eggs] stir [strain] over the cakes, sprinkle with pepper and serve.",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
165,TARENTINE MINUTAL ,"finely chop the white part of leeks and place in a sauce pan; add oil [fry lightly] and broth; next add small sausage to be cooked likewise. to have a good tarentine dish, they must be tender. the making of these sausage will be found among the isicia [nos. 60-66] . also make a sauce in the following manner: crush pepper, lovage and origany, moisten with broth, add of the above [sausage] gravy, wine, raisin wine; put in a sauce pan to be heated, when boiling, skim carefully, bind, sprinkle with pepper and serve.",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
166,APICIAN MINUTAL ,"the apician minutal is made as follows:  oil, broth wine, leek heads, mint, small fish, small tidbits  cock's fries or capon's kidneys  and pork sweetbreads; all of these are cooked together  now crush pepper, lovage, green coriander, or seeds, moistened with broth; add a little honey, and of the own liquor  of the above morsels, wine and honey to taste; bring this to a boiling point skim, bind, stir well [strain, pour over the morsels] sprinkle with pepper and serve .",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
167,MINUTAL À LA MATIUS ,"put in a sauce pan oil, broth finely chopped leeks, coriander, small tid-bits, cooked pork shoulder, cut into long strips including the skin, have everything equally half done. add matian apples  cleaned, the core removed, sliced lengthwise and cook them together: meanwhile crush pepper, cumin, green coriander, or seeds, mint, laser root, moistened with vinegar, honey and broth and a little reduced must, add to this the broth of the above morsels, vinegar to taste, boil, skim, bind [strain over the morsels] sprinkle with pepper and serve.",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
168,SWEET MINUTAL ,"in a sauce pan put together oil, broth, coctura  finely cut leek heads and green coriander, cooked pork shoulder, small tid-bits. while this is being cooked, crush pepper, cumin, coriander or [its] seeds, green rue, laser root, moistened with vinegar, reduced must and the gravy of the above morsels; add vinegar to taste: when this [sauce] is cooked, hollow out citron squash  cut in dice, boil and place them together with the rest in the dish, skim, bind [strain] the sauce [pour it over the morsels] sprinkle with pepper and serve.",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
169,MINUTAL OF FRUIT ,"in a sauce pan put oil, broth and wine, finely cut shallots, diced cooked pork shoulder. when this is cooked, crush pepper, cumin, dry mint, dill, moisten with honey, broth, raisin wine [and] a little vinegar, some of the gravy of the above morsels, add fruits the seeds of which have been taken out, let boil, when thoroughly cooked, skim, bind, sprinkle with pepper and serve .",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
170,MINUTAL OF HARE'S LIVERS ,the way to make a minutal of hare's giblets may be found among the hare recipes .,IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
171,RED APPLE MINUTAL ,"make this the same way as described in the foregoing, only add more raisin wine.",IV,MISCELLANEA,III,"FINELY MINCED DISHES, OR _ISICIA_."
172,"BARLEY BROTH, PAP, PORRIDGE, GRUEL ","crush barley, soaked the day before, well washed, place on the fire to be cooked [in a double boiler] when hot add enough oil, a bunch of dill, dry onion, satury and colocasium  to be cooked together because for the better juice, add green coriander and a little salt; bring it to a boiling point. when done take out the bunch [of dill] and transfer the barley into another kettle to avoid sticking to the bottom and burning, make it liquid [by addition of water, broth, milk] strain into a pot, covering the tops of the colocasia. next crush pepper, lovage, a little dry flea-bane, cumin and sylphium  stir it well and add vinegar, reduced must and broth; put it back into the pot, the remaining colocasia finish on a gentle fire .",IV,MISCELLANEA,IV,"PORRIDGE, GRUEL."
173,ANOTHER TISANA ,"the cereal  is soaked; chickpeas, lentils and peas are crushed and boiled with it; when well cooked, add plenty of oil. now cut green herbs, leeks, coriander, dill, fennel, beets, mallows, cabbage strunks, all soft and green and finely cut, and put in a pot. the cabbage cook [separately. also] crush fennel seed, origany, sylphium and lovage, and when crushed, add broth to taste, pour this over the porridge, stir it together and use some finely chopped cabbage stems to sprinkle on top .",IV,MISCELLANEA,IV,"PORRIDGE, GRUEL."
174,"""MOVEABLE"" APPETIZERS ","the moveable  appetizers are thus made:  small white beets, mature leeks, celery roots  stewed cockles  ginger  chicken giblets, small fowl  small morsels cooked in their own liquor . oil a pan, line it with mallow leaves and a composition of different vegetables, and, if you have room enough, bulbs, damascus plums, snails, tid-bits  short lucanian sausage sliced; add broth, oil, wine, vinegar put on the fire to heat and so cook them. meanwhile crush pepper, lovage, ginger, a little tarragon, moisten it and let it cook. break several eggs in a dish, use the remaining liquor in the mortar to mix it with the sauce in the dish and to bind it. when this is done, make a wine sauce for it as follows: crush pepper, lovage, moistened with broth, raisin wine to taste; in a small sauce pan put a little oil [with the other ingredients] heat, and bind with roux when hot. now [unmould] upset the dish on a platter, remove the mallow leaves, pour over the wine sauce, sprinkle with pepper and serve .",IV,MISCELLANEA,V,APPETIZING DISHES.
